2025-07-05 23:14:21,498 | INFO | __main__ | Starting crawl stage
2025-07-05 23:14:21,526 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com
2025-07-05 23:14:21,632 | INFO | crawler.sources.baradwajrangan_links | Page 1 attempt 1 length=197792
2025-07-05 23:14:22,002 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F07%2F05%2Freaders-write-in-824-love-actually%2F "HTTP/2 200 OK"
2025-07-05 23:14:22,005 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/07/05/readers-write-in-824-love-actually/
2025-07-05 23:14:22,245 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F07%2F03%2Frams-paranthu-po-is-a-beautiful-kind-funny-road-movie-about-the-ups-and-downs-of-life%2F "HTTP/2 200 OK"
2025-07-05 23:14:22,247 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/07/03/rams-paranthu-po-is-a-beautiful-kind-funny-road-movie-about-the-ups-and-downs-of-life/
2025-07-05 23:14:22,359 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F07%2F03%2Fsri-ganeshs-3bhk-siddharth-sarathkumar-is-a-well-made-drama-that-showcases-the-middle-class-by-focusing-on-their-one-big-dream%2F "HTTP/2 200 OK"
2025-07-05 23:14:22,360 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/07/03/sri-ganeshs-3bhk-siddharth-sarathkumar-is-a-well-made-drama-that-showcases-the-middle-class-by-focusing-on-their-one-big-dream/
2025-07-05 23:14:22,466 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F07%2F03%2Freaders-write-in-823-nulls-and-voids%2F "HTTP/2 200 OK"
2025-07-05 23:14:22,467 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/07/03/readers-write-in-823-nulls-and-voids/
2025-07-05 23:14:22,714 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F07%2F03%2Freaders-write-in-822-the-happy-path%2F "HTTP/2 200 OK"
2025-07-05 23:14:22,715 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/07/03/readers-write-in-822-the-happy-path/
2025-07-05 23:14:22,941 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F07%2F02%2Finterview-anurag-basu-metro-in-dino%2F "HTTP/2 200 OK"
2025-07-05 23:14:22,942 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/07/02/interview-anurag-basu-metro-in-dino/
2025-07-05 23:14:23,178 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F07%2F01%2Finterview-siddharth-3bhk%2F "HTTP/2 200 OK"
2025-07-05 23:14:23,179 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/07/01/interview-siddharth-3bhk/
2025-07-05 23:14:23,281 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F07%2F01%2Fananyabrata-chakravortys-kaisi-ye-paheli-is-a-delicious-slow-burn-mystery-about-a-murder-as-well-as-motherhood%2F "HTTP/2 200 OK"
2025-07-05 23:14:23,281 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/07/01/ananyabrata-chakravortys-kaisi-ye-paheli-is-a-delicious-slow-burn-mystery-about-a-murder-as-well-as-motherhood/
2025-07-05 23:14:23,382 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F07%2F01%2Fthe-amateurs-art-65-ghost-of-the-writer%2F "HTTP/2 200 OK"
2025-07-05 23:14:23,383 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/07/01/the-amateurs-art-65-ghost-of-the-writer/
2025-07-05 23:14:23,603 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F06%2F30%2Finterview-konkona-sen-sharma-metro-in-dino%2F "HTTP/2 200 OK"
2025-07-05 23:14:23,604 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/06/30/interview-konkona-sen-sharma-metro-in-dino/
2025-07-05 23:14:23,836 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F06%2F30%2Fthe-amateurs-art-64-labow-or-yet-another-engineering-students-short-film-tamil-with-subtitles%2F "HTTP/2 200 OK"
2025-07-05 23:14:23,837 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/06/30/the-amateurs-art-64-labow-or-yet-another-engineering-students-short-film-tamil-with-subtitles/
2025-07-05 23:14:24,074 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F06%2F30%2Fthe-amateurs-art-63-visionary%2F "HTTP/2 200 OK"
2025-07-05 23:14:24,075 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/06/30/the-amateurs-art-63-visionary/
2025-07-05 23:14:24,179 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F06%2F30%2Fthe-amateurs-art-62-shinakht%2F "HTTP/2 200 OK"
2025-07-05 23:14:24,180 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/06/30/the-amateurs-art-62-shinakht/
2025-07-05 23:14:24,286 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F06%2F30%2Fthe-amateurs-art-61-thank-you-for-existing%2F "HTTP/2 200 OK"
2025-07-05 23:14:24,287 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/06/30/the-amateurs-art-61-thank-you-for-existing/
2025-07-05 23:14:24,400 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F06%2F29%2Freaders-write-in-821-tether-the-journey%2F "HTTP/2 200 OK"
2025-07-05 23:14:24,403 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/06/29/readers-write-in-821-tether-the-journey/
2025-07-05 23:14:24,506 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F06%2F29%2Fthe-amateurs-art-60-labow-or-yet-another-engineering-students-short-film-tamil-with-subtitles%2F "HTTP/2 200 OK"
2025-07-05 23:14:24,506 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/06/29/the-amateurs-art-60-labow-or-yet-another-engineering-students-short-film-tamil-with-subtitles/
2025-07-05 23:14:24,738 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F06%2F27%2Finterview-randeep-hooda-jaat%2F "HTTP/2 200 OK"
2025-07-05 23:14:24,740 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/06/27/interview-randeep-hooda-jaat/
2025-07-05 23:14:24,851 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F06%2F26%2Freaders-write-in-820-my-chiyaan-vikram-story-part-three-chapter-anniyan%2F "HTTP/2 200 OK"
2025-07-05 23:14:24,852 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/06/26/readers-write-in-820-my-chiyaan-vikram-story-part-three-chapter-anniyan/
2025-07-05 23:14:25,106 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F06%2F25%2Finterview-ram-parandhu-po%2F "HTTP/2 200 OK"
2025-07-05 23:14:25,109 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/06/25/interview-ram-parandhu-po/
2025-07-05 23:14:25,220 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/reviews?select=link&link=eq.https%3A%2F%2Fbaradwajrangan.wordpress.com%2F2025%2F06%2F23%2Finterview-vishnu-manchu-kannappa%2F "HTTP/2 200 OK"
2025-07-05 23:14:25,221 | INFO | db.review_queries | Link already exists, skipping insertion: https://baradwajrangan.wordpress.com/2025/06/23/interview-vishnu-manchu-kannappa/
2025-07-05 23:14:25,221 | INFO | crawler.sources.baradwajrangan_links | No new links inserted from page 1. Stopping.
2025-07-05 23:14:25,222 | INFO | step_1_fetch_links | Attempted to fetch and store links.
2025-07-05 23:14:25,339 | INFO | httpx | HTTP Request: POST https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/pipeline_logs "HTTP/2 201 Created"
2025-07-05 23:14:25,339 | INFO | __main__ | Dry run enabled - exiting early
