2025-07-05 23:51:22,886 | INFO | crawler.sources.baradwajrangan_links | Page 26 attempt 1 length=210141
2025-07-05 23:51:22,908 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/27/
2025-07-05 23:51:22,930 | INFO | crawler.sources.baradwajrangan_links | Page 27 attempt 1 length=207672
2025-07-05 23:51:22,954 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/28/
2025-07-05 23:51:22,976 | INFO | crawler.sources.baradwajrangan_links | Page 28 attempt 1 length=210632
2025-07-05 23:51:22,998 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/29/
2025-07-05 23:51:23,023 | INFO | crawler.sources.baradwajrangan_links | Page 29 attempt 1 length=210678
2025-07-05 23:51:23,047 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/30/
2025-07-05 23:51:23,069 | INFO | crawler.sources.baradwajrangan_links | Page 30 attempt 1 length=212332
2025-07-05 23:51:23,092 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/31/
2025-07-05 23:51:23,110 | INFO | crawler.sources.baradwajrangan_links | Page 31 attempt 1 length=212118
2025-07-05 23:51:23,131 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/32/
2025-07-05 23:51:23,149 | INFO | crawler.sources.baradwajrangan_links | Page 32 attempt 1 length=209394
2025-07-05 23:51:23,173 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/33/
2025-07-05 23:51:23,192 | INFO | crawler.sources.baradwajrangan_links | Page 33 attempt 1 length=210570
2025-07-05 23:51:23,213 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/34/
2025-07-05 23:51:23,239 | INFO | crawler.sources.baradwajrangan_links | Page 34 attempt 1 length=210091
2025-07-05 23:51:23,262 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/35/
2025-07-05 23:51:23,282 | INFO | crawler.sources.baradwajrangan_links | Page 35 attempt 1 length=210591
2025-07-05 23:51:23,304 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/36/
2025-07-05 23:51:23,324 | INFO | crawler.sources.baradwajrangan_links | Page 36 attempt 1 length=209855
2025-07-05 23:51:23,347 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/37/
2025-07-05 23:51:23,367 | INFO | crawler.sources.baradwajrangan_links | Page 37 attempt 1 length=208848
2025-07-05 23:51:23,417 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/38/
2025-07-05 23:51:23,437 | INFO | crawler.sources.baradwajrangan_links | Page 38 attempt 1 length=215024
2025-07-05 23:51:23,459 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/39/
2025-07-05 23:51:23,477 | INFO | crawler.sources.baradwajrangan_links | Page 39 attempt 1 length=211052
2025-07-05 23:51:23,500 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/40/
2025-07-05 23:51:23,520 | INFO | crawler.sources.baradwajrangan_links | Page 40 attempt 1 length=211360
2025-07-05 23:51:23,541 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/41/
2025-07-05 23:51:23,559 | INFO | crawler.sources.baradwajrangan_links | Page 41 attempt 1 length=210849
2025-07-05 23:51:23,582 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/42/
2025-07-05 23:51:23,606 | INFO | crawler.sources.baradwajrangan_links | Page 42 attempt 1 length=211515
2025-07-05 23:51:23,629 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/43/
2025-07-05 23:51:23,657 | INFO | crawler.sources.baradwajrangan_links | Page 43 attempt 1 length=211571
2025-07-05 23:51:23,681 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/44/
2025-07-05 23:51:23,701 | INFO | crawler.sources.baradwajrangan_links | Page 44 attempt 1 length=209215
2025-07-05 23:51:23,723 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/45/
2025-07-05 23:51:23,742 | INFO | crawler.sources.baradwajrangan_links | Page 45 attempt 1 length=213711
2025-07-05 23:51:23,765 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/46/
2025-07-05 23:51:23,790 | INFO | crawler.sources.baradwajrangan_links | Page 46 attempt 1 length=213117
